# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the
# scientific community in the belief that their wide dissemination
# will lead to greater understanding and new scientific insights.
# The availability of these data does not constitute publication
# of the data.  NOAA relies on the ethics and integrity of the user to
# ensure that GML receives fair credit for their work.  If the data
# are obtained for potential use in a publication or presentation,
# GML should be informed at the outset of the nature of this work.
# If the GML data are essential to the work, or if an important
# result or conclusion depends on the GML data, co-authorship
# may be appropriate.  This should be discussed at an early stage in
# the work.  Manuscripts using the GML data should be sent to GML
# for review before they are submitted for publication so we can
# ensure that the quality and limitations of the data are accurately
# represented.
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Wed Jul  5 04:05:10 2023
#
# RECIPROCITY
#
# Use of these data implies an agreement to reciprocate.
# Laboratories making similar measurements agree to make their
# own data available to the general public and to the scientific
# community in an equally complete and easily accessible form.
# Modelers are encouraged to make available to the community,
# upon request, their own tools used in the interpretation
# of the GML data, namely well documented model code, transport
# fields, modeled mole fractions, and additional information
# necessary for other scientists to repeat the work and to run
# modified versions. Model availability includes collaborative
# support for new users of the models.
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. A default value (-9.9)
# indicates the uncertainty has not yet been calculated for that month.
# Please see Dlugokencky et al., 1994, JGR, vol. 99, 17021-17043, for a
# complete discussion.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc

1983,7,1983.542,1626.03,2.10,1635.14,1.39
1983,8,1983.625,1628.01,2.69,1635.67,1.33
1983,9,1983.708,1638.46,2.33,1636.25,1.27
1983,10,1983.792,1644.79,1.59,1636.88,1.20
1983,11,1983.875,1642.60,0.78,1637.57,1.12
1983,12,1983.958,1639.51,1.01,1638.33,1.04
1984,1,1984.042,1638.65,1.78,1639.18,0.95
1984,2,1984.125,1638.77,2.05,1640.05,0.87
1984,3,1984.208,1640.72,1.81,1640.97,0.81
1984,4,1984.292,1643.71,1.93,1642.00,0.75
1984,5,1984.375,1642.90,1.09,1643.06,0.71
1984,6,1984.458,1639.62,0.90,1644.15,0.68
1984,7,1984.542,1637.76,1.10,1645.27,0.66
1984,8,1984.625,1641.35,1.51,1646.43,0.65
1984,9,1984.708,1650.42,1.21,1647.57,0.65
1984,10,1984.792,1654.49,1.54,1648.71,0.65
1984,11,1984.875,1653.67,1.08,1649.83,0.66
1984,12,1984.958,1656.13,1.23,1650.94,0.66
1985,1,1985.042,1655.57,1.26,1652.05,0.66
1985,2,1985.125,1652.24,1.39,1653.09,0.66
1985,3,1985.208,1654.61,0.99,1654.11,0.66
1985,4,1985.292,1658.17,0.90,1655.14,0.65
1985,5,1985.375,1655.87,1.27,1656.17,0.65
1985,6,1985.458,1650.07,1.35,1657.18,0.64
1985,7,1985.542,1646.75,1.36,1658.19,0.65
1985,8,1985.625,1652.19,1.42,1659.21,0.65
1985,9,1985.708,1662.52,1.34,1660.22,0.66
1985,10,1985.792,1667.52,1.23,1661.23,0.68
1985,11,1985.875,1666.81,1.32,1662.25,0.69
1985,12,1985.958,1666.06,1.20,1663.28,0.72
1986,1,1986.042,1666.23,1.25,1664.34,0.75
1986,2,1986.125,1666.86,1.76,1665.35,0.77
1986,3,1986.208,1669.27,1.31,1666.37,0.79
1986,4,1986.292,1670.79,1.46,1667.43,0.82
1986,5,1986.375,1668.44,0.91,1668.51,0.84
1986,6,1986.458,1664.80,1.30,1669.58,0.86
1986,7,1986.542,1662.30,1.36,1670.67,0.87
1986,8,1986.625,1664.35,1.89,1671.78,0.88
1986,9,1986.708,1672.60,1.69,1672.87,0.87
1986,10,1986.792,1678.68,1.54,1673.97,0.86
1986,11,1986.875,1679.00,1.69,1675.06,0.85
1986,12,1986.958,1679.13,1.18,1676.16,0.82
1987,1,1987.042,1679.31,1.13,1677.26,0.79
1987,2,1987.125,1678.99,1.07,1678.30,0.75
1987,3,1987.208,1680.13,0.87,1679.32,0.71
1987,4,1987.292,1681.41,0.94,1680.36,0.66
1987,5,1987.375,1681.86,0.96,1681.38,0.61
1987,6,1987.458,1680.04,0.97,1682.36,0.56
1987,7,1987.542,1675.97,0.86,1683.32,0.51
1987,8,1987.625,1677.14,0.83,1684.26,0.47
1987,9,1987.708,1685.62,0.91,1685.15,0.44
